Date,Open,High,Low,Close,Adj Close,Volume
2016-09-28,63.230000,63.689999,63.000000,63.450001,61.089489,5251900
2016-09-29,63.279999,68.830002,62.709999,67.449997,64.940674,43098800
2016-09-30,68.400002,70.400002,68.150002,68.500000,65.951614,34879500
2016-10-03,68.080002,69.279999,66.870003,67.110001,64.613327,10153600
2016-10-04,67.699997,67.699997,66.559998,66.680000,64.199326,9746400
2016-10-05,66.839996,67.419998,66.550003,66.839996,64.353363,6362000
2016-10-06,66.800003,69.320000,66.230003,67.540001,65.027336,12957200
2016-10-07,67.529999,68.330002,67.489998,68.190002,65.653152,8398100
2016-10-10,68.339996,68.580002,67.059998,67.250000,64.748116,7029800
2016-10-11,67.000000,67.089996,65.449997,66.089996,63.631275,8910600
2016-10-12,66.489998,66.489998,65.059998,66.059998,63.602383,6615700
2016-10-13,65.550003,66.059998,64.300003,65.699997,63.255783,7236600
2016-10-14,65.940002,66.589996,65.449997,65.699997,63.255783,6743100
2016-10-17,65.529999,65.709999,65.089996,65.190002,62.764755,6348200
2016-10-18,66.180000,66.220001,65.570000,66.099998,63.640903,5913600
2016-10-19,65.879997,66.070000,65.309998,65.790001,63.342434,5414700
2016-10-20,65.480003,68.169998,65.480003,67.339996,64.834763,13579000
2016-10-21,67.110001,69.440002,66.699997,67.930000,65.402817,19676600
2016-10-24,68.400002,68.449997,67.480003,68.059998,65.527985,6669600
2016-10-25,67.900002,68.250000,67.480003,67.709999,65.191002,5370000
2016-10-26,67.309998,68.620003,67.250000,68.199997,65.662773,9241200
2016-10-27,70.800003,71.620003,70.000000,70.089996,67.482452,33941700
2016-10-28,70.519997,70.529999,67.660004,68.400002,65.855331,17952700
2016-10-31,69.000000,69.510002,68.680000,68.720001,66.163437,10108300
2016-11-01,69.000000,69.349998,67.540001,68.339996,65.797554,8910100
2016-11-02,68.459999,68.599998,67.029999,67.089996,64.594070,15183000
2016-11-03,67.690002,68.570000,65.930000,66.949997,64.459274,15642500
2016-11-04,65.739998,67.410004,65.739998,66.730003,64.247467,8584300
2016-11-07,67.720001,68.580002,67.389999,68.459999,65.913109,9205300
2016-11-08,68.220001,68.709999,67.629997,68.269997,65.730164,6620500
2016-11-09,66.629997,68.089996,66.250000,67.879997,65.354675,11604400
2016-11-10,67.809998,68.209999,64.320000,66.309998,63.843086,17774400
2016-11-11,65.870003,67.000000,65.839996,66.879997,64.391876,10239800
2016-11-14,67.419998,67.419998,65.930000,65.930000,63.477234,8149200
2016-11-15,66.260002,67.160004,65.949997,66.769997,64.285973,9615200
2016-11-16,66.709999,66.709999,65.650002,66.300003,63.833466,9485900
2016-11-17,66.440002,66.769997,66.160004,66.669998,64.189697,6982500
2016-11-18,66.680000,67.459999,65.940002,67.309998,64.805885,9889300
2016-11-21,66.860001,67.199997,66.150002,67.099998,64.603699,7868900
2016-11-22,67.570000,68.599998,67.040001,68.309998,65.768684,9803600
2016-11-23,68.330002,68.500000,67.750000,68.129997,65.595375,4819300
2016-11-25,68.160004,68.419998,67.709999,68.290001,65.749428,4200100
2016-11-28,67.419998,67.699997,66.800003,67.099998,65.109009,8225200
2016-11-29,67.230003,67.540001,66.629997,66.769997,64.788803,6544900
2016-11-30,66.800003,68.309998,66.500000,68.129997,66.108444,12470000
2016-12-01,67.720001,67.919998,63.779999,64.160004,62.256245,16563900
2016-12-02,63.950001,66.330002,63.950001,65.839996,63.886398,9687000
2016-12-05,66.379997,66.940002,65.690002,66.360001,64.390961,8708200
2016-12-06,66.650002,67.480003,66.500000,67.449997,65.448624,6701800
2016-12-07,67.349998,68.339996,66.959999,68.339996,66.312218,7202700
2016-12-08,68.419998,69.180000,68.370003,68.550003,66.515991,5552600
2016-12-09,68.610001,68.889999,67.800003,68.519997,66.486877,5551800
2016-12-12,68.370003,68.650002,67.919998,68.470001,66.438362,5615200
2016-12-13,68.720001,70.239998,68.489998,69.339996,67.282532,8494200
2016-12-14,68.639999,69.180000,67.349998,67.559998,65.555351,9957700
2016-12-15,68.099998,68.769997,67.309998,68.029999,66.011414,7162400
2016-12-16,68.489998,68.489998,66.300003,66.459999,64.487999,17631800
2016-12-19,66.790001,67.430000,66.639999,67.019997,65.031380,7884700
2016-12-20,67.379997,67.559998,66.769997,66.910004,64.924660,6685400
2016-12-21,67.070000,67.349998,66.820000,67.160004,65.167229,5211400
2016-12-22,67.639999,67.750000,66.459999,66.760002,64.779106,5900200
2016-12-23,66.889999,66.940002,66.519997,66.860001,64.876129,3039900
2016-12-27,67.139999,67.580002,67.059998,67.250000,65.254562,3028200
2016-12-28,66.650002,67.070000,65.699997,65.750000,63.799072,6547200
2016-12-29,65.500000,66.080002,65.419998,66.040001,64.080460,3695400
2016-12-30,66.250000,66.349998,65.040001,65.199997,63.265385,5941900
2017-01-03,65.860001,66.139999,64.599998,65.400002,63.459457,9519800
2017-01-04,65.669998,65.949997,65.260002,65.470001,63.527374,6221700
2017-01-05,65.220001,65.980003,65.050003,65.550003,63.605007,5998900
2017-01-06,65.480003,65.870003,64.860001,65.529999,63.585590,6749400
2017-01-09,65.529999,66.269997,65.489998,65.650002,63.702030,4702100
2017-01-10,65.949997,66.160004,65.570000,65.629997,63.682632,6076000
2017-01-11,65.750000,66.110001,65.419998,66.099998,64.138680,8349800
2017-01-12,65.349998,66.180000,65.050003,66.120003,64.158096,6105900
2017-01-13,66.250000,67.080002,66.160004,66.879997,64.895538,6177400
2017-01-17,66.709999,66.970001,63.150002,64.190002,62.285358,22338800
2017-01-18,64.669998,66.089996,63.810001,65.129997,63.197460,15883200
2017-01-19,64.970001,65.400002,64.360001,64.440002,62.527943,9421900
2017-01-20,65.190002,65.739998,62.619999,62.880001,61.014225,20936900
2017-01-23,58.669998,58.669998,53.770000,54.880001,53.251602,94436000
2017-01-24,55.020000,55.770000,54.700001,55.000000,53.368042,41751800
2017-01-25,56.099998,56.980000,55.500000,56.900002,55.211666,27307900
2017-01-26,55.349998,55.490002,53.500000,54.049999,52.446228,37888200
2017-01-27,54.650002,54.759998,54.000000,54.240002,52.630592,23053300
2017-01-30,54.389999,54.400002,53.549999,53.610001,52.019283,14853900
2017-01-31,53.610001,53.639999,52.830002,53.430000,51.844624,13995400
